,PREÇO ATUAL,PREÇO ORIGINAL,PRODUTO,MARCA,LOJA/VENDEDOR,LINK
1,"R$ 2.649,00","R$ 2.649,00",Smartphone Samsung Galaxy S23 FE,SAMSUNG,AMAZON/WEBFONES,AMAZON/WEBFONES - S23 FE
2,"R$ 3.139,00","R$ 4.499,00",Smartphone Samsung Galaxy S23 FE,SAMSUNG,AMAZON/LOJA MASTERCELL,AMAZON/MASTERCELL - S23 FE
3,"R$ 2.799,00","R$ 2.799,00",Smartphone Samsung Galaxy S23 FE,SAMSUNG,SHOPEE/MOVELAÇO TEM TUDO,SHOPEE/MOVELAÇO TEM TUDO - S23 FE
4,"R$ 3.085,24","R$ 3.390,38",Smartphone Samsung Galaxy S23 FE,SAMSUNG,ALIEXPRESS,ALIEXPRESS - S23 FE
5,"R$ 2.999,00","R$ 2.699,10",Smartphone Samsung Galaxy S23 FE,SAMSUNG,AMERICANAS,AMERICANAS - S23 FE
6,"R$ 2.999,90","R$ 2.999,90",Smartphone Samsung Galaxy S23 FE,SAMSUNG,AMAZON/COMMSHOP,COMMSHOP - S23 FE
7,"R$ 2.799,99","R$ 3.999,00",Smartphone Samsung Galaxy S23 FE,SAMSUNG,AMAZON/VITEX ELETRONICOS,VITEX - S23 FE
8,"R$ 3.099,00","R$ 4.000,00",Smartphone Samsung Galaxy S23 FE,SAMSUNG,AMAZON/GGPRIME,GG PRIME - S23 FE
9,"R$ 3.199,00","R$ 3.199,00",Smartphone Samsung Galaxy S23 FE,SAMSUNG,SHOPEE/SMARTER ONDA,SMARTER ONDA - S23 FE
10,"R$ 3.376,82","R$ 3.376,82",Smartphone Samsung Galaxy S23 FE,SAMSUNG,ALIEXPRESS,ALIEXPRESS - S23FE
11,"R$ 2.991,15","R$ 3.519,00",Smartphone Samsung Galaxy S23 FE,SAMSUNG,AMERICANAS/MOBCOMSTORE,MOBCOMSTORE - S23 FE
12,"R$ 3.110,00","R$ 3.110,00",Smartphone Samsung Galaxy S23 FE,SAMSUNG,AMERICANAS,AMERICANAS - S23 FE
13,"R$ 2.991,15","R$ 3.519,00",Smartphone Samsung Galaxy S23 FE,SAMSUNG,AMERICANAS,AMERICANAS - S23 FE
14,"R$ 4.449,90","R$ 4.449,90",Smartphone Samsung Galaxy S23 FE,SAMSUNG,AMERICANAS,AMERICANAS - S23 FE
15,"R$ 3.999,00","R$ 3.999,00",Smartphone Samsung Galaxy S23 FE,SAMSUNG,AMERICANAS,AMERICANAS - S23 FE
16,"R$ 3.826,15","R$ 4.347,00",Smartphone Samsung Galaxy S23 FE,SAMSUNG,AMERICANAS/GAZIN,GAZIN - S23 FE
17,"R$ 4.499,00","R$ 4.499,00",Smartphone Samsung Galaxy S23 FE,SAMSUNG,AMERICANAS,AMERICANAS
18,"R$ 5.502,58","R$ 5.502,58",Smartphone Samsung Galaxy S23 FE,SAMSUNG,AMERICANAS,AMERICANAS
19,"R$ 3.449,00","R$ 3.449,00",Smartphone Samsung Galaxy S23 FE,SAMSUNG,AMERICANAS/DIAMONTECH,DIAMONTECH - S23 FE
20,"R$ 3.564,79","R$ 4.050,90",Smartphone Samsung Galaxy S23 FE,SAMSUNG,AMERICANAS,AMERICANAS - S23 FE
21,"R$ 2.539,00","R$ 2.849,00",Smartphone Samsung Galaxy S23 FE,SAMSUNG,MERCADO LIVRE,MERCADO LIVRE -S23 FE
22,"R$ 2.339,10","R$ 3.998,89",Smartphone Samsung Galaxy S23 FE,SAMSUNG,KABUM,KABUM - S23 FE
23,"R$ 2.339,10","R$ 4.499,00",Smartphone Samsung Galaxy S23 FE,SAMSUNG,MAGAZINE LUIZA,MAGAZINE LUIZA - S23 FE
24,"R$ 2.499,00","R$ 3.498,89",Smartphone Samsung Galaxy S23 FE,SAMSUNG,CASAS BAHIA,CASAS BAHIA - S23 FE
25,"R$ 2.598,00","R$ 4.499,00",Smartphone Samsung Galaxy S23 FE,SAMSUNG,GIRAFA,GIRAFA - S23 FE
26,"R$ 2.749,00","R$ 2.749,00",Smartphone Samsung Galaxy S23 FE,SAMSUNG,ZOOM/TROCA FONE,ZOOM - S23 FE
27,"R$ 2.799,20","R$ 2.799,20",Smartphone Samsung Galaxy S23 FE,SAMSUNG,EXTRA,EXTRA - S23 FE
28,"R$ 2.799,20","R$ 2.799,20",Smartphone Samsung Galaxy S23 FE,SAMSUNG,PONTO FRIO,PONTO FRIO
29,"R$ 2.799,00","R$ 3.527,60",Smartphone Samsung Galaxy S23 FE,SAMSUNG,PONTO FRIO,PONTO FRIO - S23 FE
30,"R$ 2.669,00","R$ 2.998,89",Smartphone Samsung Galaxy S23 FE,SAMSUNG,C&A,C&A - S23 FE
